ESPN Futures Name,ESPN Schedule Name,Acronym,Conference,Helmet URL,Helmet Image,ESPN Power Index Team Name,CFD Name,,https://collegefootballdata.com/
Army Black KnightsARMY,Army,ARMY,AAC,http://www.nationalchamps.net/Helmet_Project/Army.gif,,Army Black Knights,Army,,
Charlotte 49ersCLT,Charlotte,CLT,AAC,http://www.nationalchamps.net/Helmet_Project/Charlotte.gif,,Charlotte 49ers,Charlotte,,
East Carolina PiratesECU,East Carolina,ECU,AAC,http://www.nationalchamps.net/Helmet_Project/East_Carolina_I.gif,,East Carolina Pirates,East Carolina,,
Florida Atlantic OwlsFAU,Florida Atlantic,FAU,AAC,http://www.nationalchamps.net/Helmet_Project/Florida_Atlantic_L.gif,,Florida Atlantic Owls,Florida Atlantic,,
Memphis TigersMEM,Memphis,MEM,AAC,http://www.nationalchamps.net/Helmet_Project/Memphis_BE.gif,,Memphis Tigers,Memphis,,
Navy MidshipmenNAVY,Navy,NAVY,AAC,http://www.nationalchamps.net/Helmet_Project/Navy.gif,,Navy Midshipmen,Navy,,
North Texas Mean GreenUNT,North Texas,UNT,AAC,http://www.nationalchamps.net/Helmet_Project/North_Texas_Q.gif,,North Texas Mean Green,North Texas,,
Rice OwlsRICE,Rice,RICE,AAC,http://www.nationalchamps.net/Helmet_Project/Rice_O.gif,,Rice Owls,Rice,,
South Florida BullsUSF,South Florida,USF,AAC,http://www.nationalchamps.net/Helmet_Project/South_Florida_S.gif,,South Florida Bulls,South Florida,,
Temple OwlsTEM,Temple,TEM,AAC,http://www.nationalchamps.net/Helmet_Project/Temple_AL.gif,,Temple Owls,Temple,,
Tulane Green WaveTULN,Tulane,TULN,AAC,http://www.nationalchamps.net/Helmet_Project/Tulane_N.gif,,Tulane Green Wave,Tulane,,
Tulsa Golden HurricaneTLSA,Tulsa,TLSA,AAC,http://www.nationalchamps.net/Helmet_Project/Tulsa_L.gif,,Tulsa Golden Hurricane,Tulsa,,
UAB BlazersUAB,UAB,UAB,AAC,http://www.nationalchamps.net/Helmet_Project/UAB_E.gif,,UAB Blazers,UAB,,
UTSA RoadrunnersUTSA,UTSA,UTSA,AAC,http://www.nationalchamps.net/Helmet_Project/UTSA_K.gif,,UTSA Roadrunners,UTSA,,
Boston College EaglesBC,Boston College,BC,ACC,http://www.nationalchamps.net/Helmet_Project/Boston_College_OLD3.gif,,Boston College Eagles,Boston College,,
California Golden BearsCAL,California,CAL,ACC,http://www.nationalchamps.net/Helmet_Project/California_OLD11.gif,,California Golden Bears,California,,
Clemson TigersCLEM,Clemson,CLEM,ACC,http://www.nationalchamps.net/Helmet_Project/Clemson.gif,,Clemson Tigers,Clemson,,
Duke Blue DevilsDUKE,Duke,DUKE,ACC,http://www.nationalchamps.net/Helmet_Project/Duke_F.gif,,Duke Blue Devils,Duke,,
Florida State SeminolesFSU,Florida State,FSU,ACC,http://www.nationalchamps.net/Helmet_Project/Florida_St.gif,,Florida State Seminoles,Florida State,,
Georgia Tech Yellow JacketsGT,Georgia Tech,GT,ACC,http://www.nationalchamps.net/Helmet_Project/Georgia_Tech.gif,,Georgia Tech Yellow Jackets,Georgia Tech,,
Louisville CardinalsLOU,Louisville,LOU,ACC,http://www.nationalchamps.net/Helmet_Project/Louisville_J.gif,,Louisville Cardinals,Louisville,,
Miami HurricanesMIA,Miami,MIA,ACC,http://www.nationalchamps.net/Helmet_Project/Miami_FL.gif,,Miami Hurricanes,Miami,,
NC State WolfpackNCSU,NC State,NCSU,ACC,http://www.nationalchamps.net/Helmet_Project/North_Carolina_St_U.gif,,NC State Wolfpack,NC State,,
North Carolina Tar HeelsUNC,North Carolina,UNC,ACC,http://www.nationalchamps.net/Helmet_Project/North_Carolina_M.gif,,North Carolina Tar Heels,North Carolina,,
Pittsburgh PanthersPITT,Pittsburgh,PITT,ACC,http://www.nationalchamps.net/Helmet_Project/Pittsburgh_D.gif,,Pittsburgh Panthers,Pittsburgh,,
SMU MustangsSMU,SMU,SMU,ACC,http://www.nationalchamps.net/Helmet_Project/Southern_Methodist_OLD2.gif,,SMU Mustangs,SMU,,
Stanford CardinalSTAN,Stanford,STAN,ACC,http://www.nationalchamps.net/Helmet_Project/Stanford_D.gif,,Stanford Cardinal,Stanford,,
Syracuse OrangeSYR,Syracuse,SYR,ACC,http://www.nationalchamps.net/Helmet_Project/Syracuse.gif,,Syracuse Orange,Syracuse,,
Virginia CavaliersUVA,Virginia,UVA,ACC,http://www.nationalchamps.net/Helmet_Project/Virginia_P.gif,,Virginia Cavaliers,Virginia,,
Virginia Tech HokiesVT,Virginia Tech,VT,ACC,http://www.nationalchamps.net/Helmet_Project/Virginia_Tech.gif,,Virginia Tech Hokies,Virginia Tech,,
Wake Forest Demon DeaconsWAKE,Wake Forest,WAKE,ACC,http://www.nationalchamps.net/Helmet_Project/Wake_Forest.gif,,Wake Forest Demon Deacons,Wake Forest,,
Illinois Fighting IlliniILL,Illinois,ILL,B10,http://www.nationalchamps.net/Helmet_Project/Illinois.gif,,Illinois Fighting Illini,Illinois,,
Indiana HoosiersIU,Indiana,IU,B10,http://www.nationalchamps.net/Helmet_Project/Indiana_R.gif,,Indiana Hoosiers,Indiana,,
Iowa HawkeyesIOWA,Iowa,IOWA,B10,http://www.nationalchamps.net/Helmet_Project/Iowa.gif,,Iowa Hawkeyes,Iowa,,
Maryland TerrapinsMD,Maryland,MD,B10,http://www.nationalchamps.net/Helmet_Project/Maryland_OLD12.gif,,Maryland Terrapins,Maryland,,
Michigan WolverinesMICH,Michigan,MICH,B10,http://www.nationalchamps.net/Helmet_Project/Michigan.gif,,Michigan Wolverines,Michigan,,
Michigan State SpartansMSU,Michigan State,MSU,B10,http://www.nationalchamps.net/Helmet_Project/Michigan_St_S.gif,,Michigan State Spartans,Michigan State,,
Minnesota Golden GophersMINN,Minnesota,MINN,B10,http://www.nationalchamps.net/Helmet_Project/Minnesota_BB.gif,,Minnesota Golden Gophers,Minnesota,,
Nebraska CornhuskersNEB,Nebraska,NEB,B10,http://www.nationalchamps.net/Helmet_Project/Nebraska.gif,,Nebraska Cornhuskers,Nebraska,,
Northwestern WildcatsNU,Northwestern,NU,B10,http://www.nationalchamps.net/Helmet_Project/Northwestern_V.gif,,Northwestern Wildcats,Northwestern,,
Ohio State BuckeyesOSU,Ohio State,OSU,B10,http://www.nationalchamps.net/Helmet_Project/Ohio_St.gif,,Ohio State Buckeyes,Ohio State,,
Oregon DucksORE,Oregon,ORE,B10,http://www.nationalchamps.net/Helmet_Project/Oregon.gif,,Oregon Ducks,Oregon,,
Penn State Nittany LionsPSU,Penn State,PSU,B10,http://www.nationalchamps.net/Helmet_Project/Penn_St.gif,,Penn State Nittany Lions,Penn State,,
Purdue BoilermakersPUR,Purdue,PUR,B10,http://www.nationalchamps.net/Helmet_Project/Purdue_U.gif,,Purdue Boilermakers,Purdue,,
Rutgers Scarlet KnightsRUTG,Rutgers,RUTG,B10,http://www.nationalchamps.net/Helmet_Project/Rutgers.gif,,Rutgers Scarlet Knights,Rutgers,,
UCLA BruinsUCLA,UCLA,UCLA,B10,http://www.nationalchamps.net/Helmet_Project/UCLA_B.gif,,UCLA Bruins,UCLA,,
USC TrojansUSC,USC,USC,B10,http://www.nationalchamps.net/Helmet_Project/Southern_California.gif,,USC Trojans,USC,,
Washington HuskiesWASH,Washington,WASH,B10,http://www.nationalchamps.net/Helmet_Project/Washington.gif,,Washington Huskies,Washington,,
Wisconsin BadgersWIS,Wisconsin,WIS,B10,http://www.nationalchamps.net/Helmet_Project/Wisconsin.gif,,Wisconsin Badgers,Wisconsin,,
Arizona WildcatsARIZ,Arizona,ARIZ,B12,http://www.nationalchamps.net/Helmet_Project/Arizona.gif,,Arizona Wildcats,Arizona,,
Arizona State Sun DevilsASU,Arizona State,ASU,B12,http://www.nationalchamps.net/Helmet_Project/Arizona_St_OLD11.gif,,Arizona State Sun Devils,Arizona State,,
Baylor BearsBAY,Baylor,BAY,B12,http://www.nationalchamps.net/Helmet_Project/Baylor_R.gif,,Baylor Bears,Baylor,,
BYU CougarsBYU,BYU,BYU,B12,http://www.nationalchamps.net/Helmet_Project/BYU_B.gif,,BYU Cougars,BYU,,
Cincinnati BearcatsCIN,Cincinnati,CIN,B12,http://www.nationalchamps.net/Helmet_Project/Cincinnati.gif,,Cincinnati Bearcats,Cincinnati,,
Colorado BuffaloesCOLO,Colorado,COLO,B12,http://www.nationalchamps.net/Helmet_Project/Colorado.gif,,Colorado Buffaloes,Colorado,,
Houston CougarsHOU,Houston,HOU,B12,http://www.nationalchamps.net/Helmet_Project/Houston_R.gif,,Houston Cougars,Houston,,
Iowa State CyclonesISU,Iowa State,ISU,B12,http://www.nationalchamps.net/Helmet_Project/Iowa_St_I.gif,,Iowa State Cyclones,Iowa State,,
Kansas JayhawksKU,Kansas,KU,B12,http://www.nationalchamps.net/Helmet_Project/Kansas_AB.gif,,Kansas Jayhawks,Kansas,,
Kansas State WildcatsKSU,Kansas State,KSU,B12,http://www.nationalchamps.net/Helmet_Project/Kansas_St.gif,,Kansas State Wildcats,Kansas State,,
Oklahoma State CowboysOKST,Oklahoma State,OKST,B12,http://www.nationalchamps.net/Helmet_Project/Oklahoma_St_AE.gif,,Oklahoma State Cowboys,Oklahoma State,,
TCU Horned FrogsTCU,TCU,TCU,B12,http://www.nationalchamps.net/Helmet_Project/Texas_Christian_K.gif,,TCU Horned Frogs,TCU,,
Texas Tech Red RaidersTTU,Texas Tech,TTU,B12,http://www.nationalchamps.net/Helmet_Project/Texas_Tech_A.gif,,Texas Tech Red Raiders,Texas Tech,,
UCF KnightsUCF,UCF,UCF,B12,http://www.nationalchamps.net/Helmet_Project/Central_Florida.gif,,UCF Knights,UCF,,
Utah UtesUTAH,Utah,UTAH,B12,http://www.nationalchamps.net/Helmet_Project/Utah.gif,,Utah Utes,Utah,,
West Virginia MountaineersWVU,West Virginia,WVU,B12,http://www.nationalchamps.net/Helmet_Project/West_Virginia.gif,,West Virginia Mountaineers,West Virginia,,
Eastern Washington,Eastern Washington,Eastern Washington,Big Sky,http://www.nationalchamps.net/Helmet_Project/Eastern_Washington_H.gif,,,Eastern Washington,,
Portland State UniversityPORTST,Portland State,PORTST,Big Sky,http://www.nationalchamps.net/Helmet_Project/Portland_St_H.gif,,,Portland State,,
Monmouth,Monmouth,Monmouth,CAA,http://www.nationalchamps.net/Helmet_Project/Monmouth_NJ.gif,,,Monmouth,,
VillanovaNOVA,Villanova,NOVA,CAA,http://www.nationalchamps.net/Helmet_Project/Villanova.gif,,,Villanova,,
Massachusetts MinutemenMASS,Massachusetts,MASS,Independent,http://www.nationalchamps.net/Helmet_Project/Massachusetts_L.gif,,Massachusetts Minutemen,Massachusetts,,
Notre Dame Fighting IrishND,Notre Dame,ND,Independent,http://www.nationalchamps.net/Helmet_Project/Notre_Dame_OLD1.gif,,Notre Dame Fighting Irish,Notre Dame,,
UConn HuskiesCONN,UConn,CONN,Independent,http://www.nationalchamps.net/Helmet_Project/Connecticut_K.gif,,UConn Huskies,UConn,,
Akron ZipsAKR,Akron,AKR,MAC,http://www.nationalchamps.net/Helmet_Project/Akron_AI.gif,,Akron Zips,Akron,,
Ball State CardinalsBALL,Ball State,BALL,MAC,http://www.nationalchamps.net/Helmet_Project/Ball_State_U.gif,,Ball State Cardinals,Ball State,,
Bowling Green FalconsBGSU,Bowling Green,BGSU,MAC,http://www.nationalchamps.net/Helmet_Project/Bowling_Green_I.gif,,Bowling Green Falcons,Bowling Green,,
Buffalo BullsBUFF,Buffalo,BUFF,MAC,http://www.nationalchamps.net/Helmet_Project/Buffalo_AI.gif,,Buffalo Bulls,Buffalo,,
Central Michigan ChippewasCMU,Central Michigan,CMU,MAC,http://www.nationalchamps.net/Helmet_Project/Central_Michigan_A.gif,,Central Michigan Chippewas,Central Michigan,,
Eastern Michigan EaglesEMU,Eastern Michigan,EMU,MAC,http://www.nationalchamps.net/Helmet_Project/Eastern_Michigan_L.gif,,Eastern Michigan Eagles,Eastern Michigan,,
Kent State Golden FlashesKENT,Kent State,KENT,MAC,http://www.nationalchamps.net/Helmet_Project/Kent_St_AF.gif,,Kent State Golden Flashes,Kent State,,
Miami (OH) RedHawksM-OH,Miami (OH),OH,MAC,http://www.nationalchamps.net/Helmet_Project/Miami_OH_AF.gif,,Miami (OH) RedHawks,Miami (OH),,
Northern Illinois HuskiesNIU,Northern Illinois,NIU,MAC,http://www.nationalchamps.net/Helmet_Project/Northern_Illinois_OLD13.gif,,Northern Illinois Huskies,Northern Illinois,,
Ohio BobcatsOHIO,Ohio,OHIO,MAC,http://www.nationalchamps.net/Helmet_Project/Ohio_N.gif,,Ohio Bobcats,Ohio,,
Toledo RocketsTOL,Toledo,TOL,MAC,http://www.nationalchamps.net/Helmet_Project/Toledo_OLD10.gif,,Toledo Rockets,Toledo,,
Western Michigan BroncosWMU,Western Michigan,WMU,MAC,http://www.nationalchamps.net/Helmet_Project/Western_Michigan_BB.gif,,Western Michigan Broncos,Western Michigan,,
Morgan State,Morgan State,Morgan State,MEAC,http://www.nationalchamps.net/Helmet_Project/Morgan_St_H.gif,,,Morgan State,,
North Carolina Central,North Carolina Central,North Carolina Central,MEAC,http://www.nationalchamps.net/Helmet_Project/North_Carolina_Central_D.gif,,North Carolina Tar Heels,North Carolina Central,,
South Carolina State,South Carolina State,South Carolina State,MEAC,http://www.nationalchamps.net/Helmet_Project/South_Carolina_St.gif,,,South Carolina State,,
Northern Iowa,Northern Iowa,Northern Iowa,MVFC,http://www.nationalchamps.net/Helmet_Project/Northern_Iowa_2022.gif,,,Northern Iowa,,
Youngstown StateYSU,Youngstown State,YSU,MVFC,http://www.nationalchamps.net/Helmet_Project/Youngstown_St_G.gif,,,Youngstown State,,
Air Force FalconsAFA,Air Force,AFA,MW,http://www.nationalchamps.net/Helmet_Project/Air_Force_L.gif,,Air Force Falcons,Air Force,,
Boise State BroncosBOIS,Boise State,BOIS,MW,http://www.nationalchamps.net/Helmet_Project/Boise_St_X.gif,,Boise State Broncos,Boise State,,
Colorado State RamsCSU,Colorado State,CSU,MW,http://www.nationalchamps.net/Helmet_Project/Colorado_St_D.gif,,Colorado State Rams,Colorado State,,
Fresno State BulldogsFRES,Fresno State,FRES,MW,http://www.nationalchamps.net/Helmet_Project/Fresno_St_I.gif,,Fresno State Bulldogs,Fresno State,,
Hawai'i Rainbow WarriorsHAW,Hawaii,HAW,MW,http://www.nationalchamps.net/Helmet_Project/Hawaii_G.gif,,Hawai'i Rainbow Warriors,,,
Nevada Wolf PackNEV,Nevada,NEV,MW,http://www.nationalchamps.net/Helmet_Project/Nevada_Q.gif,,Nevada Wolf Pack,Nevada,,
