id,name,city,country,timeZone,matchCount
"AZT","Estadio Azteca","Mexico City","Mexico","America/Mexico_City","5"
"AKR","Estadio Akron","Guadalajara","Mexico","America/Mexico_City","4"
"BBVA","Estadio BBVA","Monterrey","Mexico","America/Mexico_City","4"
"BMO","BMO Field","Toronto","Canada","America/Toronto","6"
"BC","BC Place","Vancouver","Canada","America/Vancouver","7"
"SOFI","SoFi Stadium","Los Angeles","United States","America/Los_Angeles","8"
"LEVIS","Levi's Stadium","San Francisco Bay Area","United States","America/Los_Angeles","6"
"LUMEN","Lumen Field","Seattle","United States","America/Los_Angeles","6"
"MET","MetLife Stadium","New York / New Jersey","United States","America/New_York","8"
"GIL","Gillette Stadium","Boston","United States","America/New_York","7"
"LINC","Lincoln Financial Field","Philadelphia","United States","America/New_York","6"
"MBS","Mercedes-Benz Stadium","Atlanta","United States","America/New_York","8"
"HARD","Hard Rock Stadium","Miami","United States","America/New_York","7"
"NRG","NRG Stadium","Houston","United States","America/Chicago","7"
"ATT","AT&T Stadium","Dallas","United States","America/Chicago","9"
"ARR","Arrowhead Stadium","Kansas City","United States","America/Chicago","6"
