manager_id,manager_name,country
MGR_001,Javier Aguirre,Mexico
MGR_002,Hugo Broos,South Africa
MGR_003,Hong Myung-Bo,South Korea
MGR_004,Miroslav Koubek,Czech Republic
MGR_005,Jesse Marsch,Canada
MGR_006,Sergej Barbarez,Bosnia and Herzegovina
MGR_007,Julen Lopetegui,Qatar
MGR_008,Murat Yakin,Switzerland
MGR_009,Carlo Ancelotti,Brazil
MGR_010,Mohamed Ouahbi,Morocco
MGR_011,Sebastien Migne,Haiti
MGR_012,Steve Clarke,Scotland
MGR_013,Mauricio Pochettino,United States
MGR_014,Tony Popovic,Australia
MGR_015,Gustavo Alfaro,Paraguay
MGR_016,Vincenzo Montella,Turkey
MGR_017,Julian Nagelsmann,Germany
MGR_018,Dick Advocaat,Curacao
MGR_019,Emerse Faé,Côte d'Ivoire
MGR_020,Sebastián Beccacece,Ecuador
MGR_021,Ronald Koeman,Netherlands
MGR_022,Hajime Moriyasu,Japan
MGR_023,Graham Potter,Sweden
MGR_024,Sabri Lamouchi,Tunisia
MGR_025,Rudi Garcia,Belgium
MGR_026,Hossam Hassan,Egypt
MGR_027,Amir Ghalenoei,Iran
MGR_028,Darren Bazeley,New Zealand
MGR_029,Luis de la Fuente,Spain
MGR_030,Bubista,Cabo Verde
MGR_031,Marcelo Bielsa,Uruguay
MGR_032,Georgios Donis,Saudi Arabia
MGR_033,Didier Deschamps,France
MGR_034,Pape Thiaw,Senegal
MGR_035,Graham Arnold,Iraq
MGR_036,Stale Solbakken,Norway
MGR_037,Lionel Scaloni,Argentina
MGR_038,Vladimir Petkovic,Algeria
MGR_039,Ralf Rangnick,Austria
MGR_040,Jamal Sellami,Jordan
MGR_041,Roberto Martinez,Portugal
MGR_042,Sebastien Desabre,DR Congo
MGR_043,Fabio Cannavaro,Uzbekistan
MGR_044,Nestor Lorenzo,Colombia
MGR_045,Thomas Tuchel,England
MGR_046,Zlatko Dalic,Croatia
MGR_047,Carlos Queiroz,Ghana
MGR_048,Thomas Christiansen,Panama
